claimReviewed,itemReviewed.datePublished,itemReviewed.type,author.name,author.jobTitle,author.affiliation.type,author.affiliation.name,title,subtitle,reviewRating.type,reviewRating.alternateName,reviewRating.color,postTerms.partyTermId,postTerms.ratingTermId,postTerms.claimerTermId,type,id,datePublished,url
"“Cada cual puede preguntarse qué sucedería si estuvieran al frente del país quienes en otras crisis, como la financiera, nunca apostaron por los ERTE y sí por el despido libre”",2022-07-12,Claim,Pedro Sánchez,Presidente del Gobierno,Organization,PSOE,"El PP apoyó los ERTE durante la pandemia y los usó en la crisis financiera, aunque eran distintos a los actuales","El PP votó a favor de la convalidación del real decreto ley de los ERTE de marzo de 2020 y de sus sucesivas prórrogas, como recoge la página web del Congreso de los Diputados
",Rating,Engañoso,#ff8433,98761,98754,98860,ClaimReview,340308,2022-07-14,https://www.newtral.es/apoyo-pp-erte-pedro-sanchez/20220714/
"""Usted encontró un país donde la inflación española era inferior a la de la zona euro""",2022-07-12,Claim,Cuca Gamarra,Diputada,Organization,Partido Popular,La inflación española no era “inferior a la de la zona euro” cuando Sánchez llegó al Gobierno como dice Gamarra,"Sánchez accedió a la presidencia del Gobierno en junio de 2018. A cierre de mayo de ese año la inflación de España estaba en el 2,1% mientras que la de la zona euro estaba en el 2%
",Rating,Falso,#f54242,98757,98750,98835,ClaimReview,340495,2022-07-13,https://www.newtral.es/inflacion-espana-zona-euro-factcheck/20220713/
“En la anterior crisis financiera se tardaron más de diez años en recuperar los niveles de empleo previos a la crisis financiera”,2022-07-12,Claim,Pedro Sánchez,Presidente del Gobierno,Organization,PSOE,"Pedro Sánchez dice que en la anterior crisis “se tardaron” 10 años en recuperar el empleo, pero el PSOE también gobernó en ese periodo","El presidente comparó las respuestas que se dieron en la anterior crisis financiera y en la crisis derivada de la pandemia, pero los socialistas también gobernaron durante el inicio de la recesión económica de 2008
",Rating,Verdad a medias,#ebe013,98761,98749,98860,ClaimReview,340331,2022-07-13,https://www.newtral.es/psoe-crisis-empleo-factcheck/20220713/
“Madrid tiene 5.000 sanitarios más que antes de la pandemia: hemos pasado de 80.000 a 85.000”,2022-07-04,Claim,Enrique Ruiz Escudero,Consejero de Sanidad de la Comunidad de Madrid,Organization,Partido Popular,Madrid no ha pasado de 80.000 a 85.000 sanitarios antes y después de la pandemia como dice el consejero de Sanidad,"Los datos que facilita el consejero de Sanidad, Enrique Ruiz Escudero, no se corresponden con los datos que su departamento registra en el Portal Estadístico de Personal del Servicio Madrileño de Salud (Sermas)
",Rating,Engañoso,#ff8433,98757,98754,112204,ClaimReview,339695,2022-07-13,https://www.newtral.es/personal-sanitario-madrid-factcheck/20220713/
“[El gasto militar en España] ya está por otra parte en niveles récord”,2022-07-04,Claim,Ione Belarra,Ministra de Derechos Sociales y Agenda 2030,Organization,Unidas Podemos,"El gasto militar en España no está “en niveles récord” como dice Belarra, ha caído según Eurostat, SIPRI y el Centre Delàs","El gasto en defensa en España ha pasado de suponer un 1,4% del PIB en 1995 a un 0,9% en 2020, según Eurostat
",Rating,Falso,#f54242,98763,98750,111131,ClaimReview,338524,2022-07-12,https://www.newtral.es/gasto-militar-espana-factcheck/20220712/
"“En la inmensa mayoría de las comunidades autónomas, empezando por las gobernadas por los socialistas, a las tres de la tarde cierran [las urgencias extrahospitalarias]”",2022-07-05,Claim,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Organization,Partido Popular,Los servicios de urgencias de la “inmensa mayoría” de las CCAA no cierran “a las tres de la tarde” como dice Ayuso,"Las comunidades autónomas ofrecen servicios de urgencias de atención primaria después de las tres de la tarde, independientemente del partido que esté en su Gobierno
",Rating,Falso,#f54242,98757,98750,98789,ClaimReview,338740,2022-07-11,https://www.newtral.es/servicios-urgencias-isabel-diaz-ayuso-atencion-primaria-centros-salud/20220711/
"""Probablemente lo que sucede es que una renta media en Madrid duplica a las rentas medias de las comunidades gobernadas por los socialistas""",2022-07-05,Claim,Isabel Díaz Ayuso,Presidenta de la Comunidad de Madrid,Organization,Partido Popular,Madrid no “duplica” al resto de las comunidades en PIB per cápita pese a lo que dice Ayuso,"El PIB por habitante de la Comunidad de Madrid fue de 35.913 euros en 2019, un 45,8% superior al de Extremadura, que cerraba el ranking con 19.454 euros
",Rating,Engañoso,#ff8433,98757,98754,98789,ClaimReview,337785,2022-07-11,https://www.newtral.es/pib-capita-madrid-factcheck/20220711/
“No hay lugar en el mundo donde mueran tantos migrantes como en las fronteras españolas”,2022-06-29,Claim,Josep María Jové,Presidente de ERC en el Parlament de Catalunya,Organization,ERC,Las fronteras españolas no son el lugar del mundo donde mueren más migrantes pese a lo que dice Jové,"La ruta en la que se registran más muertes de migrantes desde 2014 es la del Mediterráneo central, en las fronteras de Italia y Malta
",Rating,Engañoso,#ff8433,98758,98754,113331,ClaimReview,338557,2022-07-08,https://www.newtral.es/muerte-migrantes-fronteras-factcheck/20220708/
"“Llevamos más de un año de legislatura. La única propuesta de ley que se ha aprobado aquí es la de medidas financieras; por lo demás, falta de proyecto propio”",2022-06-29,Claim,Dolors Sabater,Presidenta del grupo parlamentario de la CUP en el Parlament de Cataluña,Organization,CUP,"El Parlament ha aprobado diez leyes en la actual legislatura, nueve más de las que asegura Dolors Sabater","Además de la ley de medidas financieras y las cuentas de la Generalitat, el Parlament ha aprobado otro proyecto de ley y otras siete leyes más
",Rating,Engañoso,#ff8433,98764,98754,113327,ClaimReview,337695,2022-07-07,https://www.newtral.es/leyes-aprobadas-parlament-factcheck/20220707/
"“Este es el Gobierno que ha aumentado en estos presupuestos hasta 3.500 millones de euros la ayuda a la cooperación al desarrollo con los países africanos""",2022-06-30,Claim,Pedro Sánchez,Presidente del Gobierno,Organization,PSOE,"Los 3.500 millones del presupuesto de ayuda al desarrollo es el total, no solo para países africanos como dice Pedro Sánchez","El presidente se refirió al presupuesto que se destina a cooperación tras el salto a la valla en Melilla, pero la cifra que dio no es solo para “países africanos” como dijo, sino el total, y no solo es del Gobierno, también incluye fondos autonómicos
",Rating,Engañoso,#ff8433,98761,98754,98860,ClaimReview,336218,2022-07-01,https://www.newtral.es/presupuesto-ayuda-desarrollo-factcheck/20220701/
“[España es] el segundo país de la Unión Europea con mayor inmigración irregular”,2022-06-29,Claim,José Antonio Bermúdez De Castro,Diputado,Organization,Partido Popular,"España es el sexto país de la UE “con mayor inmigración irregular”, aunque es el segundo en entradas ilegales","Aunque el diputado habló de “inmigración irregular”, desde el PP señalan que se refería a “llegadas” irregulares. Sin embargo, estas no contabilizan toda la inmigración ilegal, como explica Eurostat
",Rating,Engañoso,#ff8433,98757,98754,113306,ClaimReview,336124,2022-07-01,https://www.newtral.es/espana-inmigracion-irregular-factcheck/20220701/
